Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
skip to main content,1,0,4,0,0,2,0,0,0
skip to primary sidebar,2,1,4,0,0,2,0,0,0
swasthi s recipes,2,2,3,0,0,3,0,0,0
indian food blog with easy indian recipes,2,2,7,0,0,3,0,0,0
home recipes chicken recipes,2,1,4,0,0,3,1,0,0
chicken biryani recipe,2,2,3,0,0,3,0,0,0
does take some time and needs little expertise,0,1,8,0,0,2,3,0,0
chicken biryani served in a white,1,0,6,0,0,2,1,0,0
infused milk ghee i have shared that traditional hyderabadi biryani,1,1,10,0,0,5,3,0,0
cooker or a pot,2,1,4,0,0,2,0,0,0
surprise you with a good aroma and taste,2,1,8,0,0,3,0,0,0
raita shorba lassi and papads,2,1,5,0,0,3,0,0,0
more chicken biryani recipes,1,2,4,0,0,2,0,0,0
chicken dum biryani,1,1,3,0,0,3,0,0,0
end of this post as recipe 2,2,1,7,1,1,3,0,0,0
how to make chicken biryani stepwise photos,2,2,7,0,0,3,1,0,0
chicken pieces and add to a large bowl then add,2,1,10,0,0,3,2,0,0
3 tablespoons plain yogurt indian curd,1,2,6,1,1,2,1,1,1
1 tablespoons ginger garlic paste,1,1,5,1,1,2,1,1,1
to 1 tablespoon garam masala or biriyani masala,1,1,8,1,1,5,0,1,1
teaspoon ground turmeric,1,1,3,0,0,3,0,1,0
to 1 teaspoon red chili powder reduce for kids,1,1,9,1,1,4,1,1,1
1 tablespoon lemon juice optional,0,1,5,1,1,3,0,1,0
adding spice powders to marinate https //wwwindianhealthyrecipescom/wp,1,0,7,0,0,4,2,0,0
resting marinade to make chicken,1,0,5,0,0,2,2,0,0
biryani https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,3,0,0,0
soaking basmati rice https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,3,1,0,0
whatever you have i use,2,1,5,0,0,0,3,0,0
1 bay leaf,1,2,3,1,1,2,0,0,0
4 green cardamoms,1,1,3,1,1,1,0,0,0
1 inch cinnamon piece,1,1,4,1,1,2,0,1,1
1 star anise,1,1,3,1,1,2,0,0,0
teaspoon shahi jeera caraway seeds,1,1,5,0,0,5,0,1,0
1 strand mace,0,1,3,1,1,2,0,0,0
frying spices in pot to make chicken,1,0,7,0,0,3,2,0,0
biryani https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,3,0,0,0
uniformly light brown,0,1,3,0,0,1,0,0,0
biryani recipe 07jpg,2,1,3,1,2,1,1,0,0
bitter taste check video,0,1,4,0,0,3,0,0,0
golden fried onions https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,2,2,0,0
adding marinade to make chicken,1,0,5,0,0,2,2,0,0
biryani https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,3,0,0,0
tender and completely cooked,0,1,4,0,0,1,1,0,0
cooking covered until meat is,1,0,5,0,0,2,2,0,0
tender https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,3,0,0,0
by cooking further without the lid,0,1,6,0,0,1,1,0,0
check if the chicken is cooked https //wwwindianhealthyrecipescom/wp,1,0,8,0,0,3,2,0,0
cup plain yogurt indian curd,1,2,5,0,0,4,0,1,0
1 teaspoon garam masala or biryani masala,1,1,7,1,1,5,0,1,1
to teaspoon red chili powder optional,1,1,6,0,0,2,1,1,0
1 slit green chili pepper optional,1,1,6,1,1,2,0,0,0
2 tablespoons chopped mint leaves pudina,0,1,6,1,1,3,2,1,0
adding curd spices to make chicken,1,0,6,0,0,2,2,0,0
biryani https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,3,0,0,0
make chicken biryani,2,2,3,0,0,2,1,0,0
layering the marinade in pot to make chicken,1,0,8,0,0,3,2,0,0
biryani https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,3,0,0,0
water at this stage,2,1,4,0,0,2,0,0,0
gently check video,0,1,3,0,0,1,1,0,0
layering rice and pouring water to make chicken,1,0,8,0,0,3,3,0,0
biryani https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,3,0,0,0
