Sentence,Label
Home,0
Breakfast,0
Dosa,0
Idli,0
Chutney,0
Sandwich,0
Rice,0
Biryani,0
Pulao,0
Paneer,0
Snacks,0
Starters,0
Appetizer,0
SideDish,0
Streetfood,0
Chaat,0
Sabzi,0
Dal,0
Rasam,0
Sambar,0
SauceDips,0
Sweets,0
Cakes,0
Dessert,0
Lunch,0
Roti,0
Paratha,0
Soup,0
Salad,0
Raita,0
Tambli,0
Rasam,0
Sambar,0
Pickle,0
Search,0
HebbarsKitchen,0
HebbarsKitchen,0
HebbarsKitchen,0
Home,0
Breakfast,0
Dosa,0
Idli,0
Chutney,0
Sandwich,0
Rice,0
Biryani,0
Pulao,0
Paneer,0
Snacks,0
Starters,0
Appetizer,0
SideDish,0
Streetfood,0
Chaat,0
Sabzi,0
Dal,0
Rasam,0
Sambar,0
SauceDips,0
Sweets,0
Cakes,0
Dessert,0
Lunch,0
Roti,0
Paratha,0
Soup,0
Salad,0
Raita,0
Tambli,0
Rasam,0
Sambar,0
Pickle,0
Search,0
HebbarsKitchen,0
Home,0
Breakfast,0
Dosa,0
Idli,0
Chutney,0
Sandwich,0
Rice,0
Biryani,0
Pulao,0
Paneer,0
Snacks,0
Starters,0
Appetizer,0
SideDish,0
Streetfood,0
Chaat,0
Sabzi,0
Dal,0
Rasam,0
Sambar,0
SauceDips,0
Sweets,0
Cakes,0
Dessert,0
Lunch,0
Roti,0
Paratha,0
Soup,0
Salad,0
Raita,0
Tambli,0
Rasam,0
Sambar,0
Pickle,0
Search,0
Home  appetizer  paneermanchuriandryrecipehowtomakedrypaneer,0
manchurian,0
paneermanchuriandryrecipehowtomakedrypaneermanchurian,0
By,0
HebbarsKitchen,0
January282019,0
13,0
paneermanchuriandryrecipehowtomakedrypaneermanchurianwith,0
detailedphotoandvideorecipeadrymanchurianrecipepreparedwithpaneer,0
cubesanidealpartysnackservedasstarterorasasidedishwithveg,0
friedriceoranynoodlesrecipe,0
paneermanchurian,0
